Date: 2026-01-15T09:52:36Z
Duration: 202m 52s

[00:00-00:00] Speaker 0:  Ну как ты?
[164:30-164:33] Speaker 0:  Это только цепка высадца интеллектуализации, то есть то ли забыть.
[164:36-164:50] Speaker 3:  Да поскольку я и под меня для меня я открыл, возделывал я открытие, откуда я там году человек такого вектор Я спанный.
[164:50-164:53] Speaker 0:  Красиво, брал Артем, красиво. Это красиво.
[164:53-164:54] Speaker 0:  Нижняя айсберга, часть айска.
[164:54-164:55] Speaker 0:  Ты гигант, знакомишь?
[164:55-165:08] Speaker 0:  Тебе еще пой Что этот вот чист и программинарь может и тех такого худа вообще давать что дожка вам покажется мало не вот я вижу говорю солнчим на всю Да, но именно очень молодец, слышишь? Молодчетка мысль. Вот этот.
[165:08-165:15] Speaker 0:  Ты коллекция штуки и за этим резонирую, пойдем и дальше сорсом подостанем. Оттуда вы.. Спасибо, Арт<unk>м. Семен.
[165:20-165:37] Speaker 5:  Да на обычае продан какие Проще вот денежного там уже ничего больше ничего нет.
[165:38-165:50] Speaker 5:  Я запустил новый проект, новый проект, не знаю, какой тоже и Я покажу я дружене, роман Банабы, выбрал вот так у меня.
[165:52-165:53] Speaker 1:  Почему ты пойдешься?
[165:55-166:02] Speaker 5:  Не знаю, знаю, а почему сольюсь, мусор больше рядом, что кливы раз, типа она не..
[166:02-166:04] Speaker 5:  типа ехать захочет.
[166:04-166:19] Speaker 0:  смотри что-то в этом молодежь семена даже вот как он на права поймал до кац ты что происходит чтобы идти сходит шерли забед дайте предстоит молодца так же не продавать Мне какие-то формы, то фу, дальше мы оноротся за счет мотивира, что она насчет того, как я напротив этой квартиры.
[166:20-166:21] Speaker 0:  С тобой разговаривает.
[166:21-166:27] Speaker 0:  Значит, Мы жаляем в парке Гульва, я говорю, Егорки, говорю, Эль, бро, слушай, на сторону, давай разности, ты не обязана дело.
[166:27-166:28] Speaker 0:  Хочешь, я делал?
[166:28-166:29] Speaker 0:  Вот мне это хорошо работает.
[166:29-166:31] Speaker 0:  Хорошо, работа мне нужна, потому что мы нельзя и счастлива.
[166:31-166:32] Speaker 0:  Довольно давай же делаем.
[166:32-166:34] Speaker 0:  Так мы с тобой, короче, искусство. Ты хочешь?
[166:33-166:36] Speaker 0:  Искренне упрям, короче, а я еще в будут зарабатываю. И это..
[166:36-166:39] Speaker 0:  Давай вот и что-нибудь говорю, хай, говорю, хоти, крутой, бом, красивый.
[166:39-166:40] Speaker 0:  Говорю, бегу там силы набережье.
[166:40-166:40] Speaker 0:  Давай, Бликва.
[166:40-166:42] Speaker 0:  Вот она такая. Хочу. Какая? Ха-ха.
[166:42-166:44] Speaker 0:  Я говорю, ты херох, ты как ты?
[166:44-166:46] Speaker 0:  Да я ничего хочешь вообще? Не делал.
[166:46-166:50] Speaker 0:  В прошлый раз когда говорю, просто тело, да ты хотел в Сан-Луси, а на остров след Фрейдси, брат, я, блядь, или.
[166:50-166:52] Speaker 0:  В воздухе, просто три раза переворачивай. Вот так.
[166:52-166:53] Speaker 0:  Как-то странно.
[166:53-166:57] Speaker 0:  Сейчас ты как По себе, как говорю, я пятнар, короче, к индиксу что-то не понимаю? Не то.
[166:57-167:00] Speaker 0:  Я говорю, а ты хочешь, кваравдарил? Такая квартира? Хочу.
[167:00-167:05] Speaker 0:  Я говорю, твою Вот я вот это вот говорю, я хочу что-то прям не оно.
[167:05-167:05] Speaker 0:  Не о том. Вот.
[167:06-167:07] Speaker 0:  И дальше проблема была прав про.
[167:07-167:08] Speaker 0:  Но с ней.
[167:08-167:10] Speaker 0:  Я беру руль теперь на себя.
[167:10-167:13] Speaker 0:  У меня задача, значит, такая задачка заново себя. Пробуй забраться.
[167:15-167:29] Speaker 5:  Так я быру для дома жены и лес я уже леду.
[167:28-167:34] Speaker 5:  Ну, следую за ну, что выбрать нобовый нее, дом. Как интересно.
[167:35-167:38] Speaker 0:  То есть, например, на самом деле пош<unk>л на такой мотив. Я хочу.
[167:38-167:40] Speaker 0:  Понять ощупь своей матери достой хочу усил.
[167:40-167:42] Speaker 0:  Я ж чью жену улыбая землю.
[167:42-167:43] Speaker 0:  Мощь не подходит. Мянка, на?
[167:43-167:44] Speaker 0:  Да,
[167:44-168:14] Speaker 0:  ах, она такая землеренитая, семьянка, просто он Вау, в столком лесу, вот в это сной, пацаны, короче, лапыком накрупни, вот троем будем жить, и да здесь будет смотришь, дом ты такой свою мышцу и принимает выбрать, ты следует улыбайся Жену катающийся, а башка просто мештайжает, вот кухню внутри, и там живели этот, вот она не что там мягко короче едем, так и мид, где такой там, господи, а вот что оказывается Ой, надо такое есть, а ты творя хотел честного моря на берегу, и дальше вот пуешься, ты торгуя, ты сняешь и вообще хочешь, чуть я бываешься, что сулобы, или днутя ноги дом где, и на травись из след семен.
[168:14-168:16] Speaker 0:  Следуешь, как он узнал?
[168:16-168:40] Speaker 0:  устроенных не про него виваешься же тетула или дурна понимаешь лом понимаешь о чем я понимаю счастливо этим отведу красиво счастливо формируно семена своими словами пробуй сказать так ну а я же ну следует по акциям ее реактили Вот для меня ваш торгование.
[168:40-168:41] Speaker 5:  Там очень много вороха.
[168:41-168:49] Speaker 5:  Я много следую и следую и от этого буквально процент а да, будто бы какие-нибудь свое очень слабые желания, слабые индикаторы.
[168:52-168:55] Speaker 5:  Да очень подминиванный отметил.
[168:59-169:03] Speaker 5:  А на мои продамой выбор.
[169:08-169:10] Speaker 1:  Спасибо, Семен. Спасибо, Семен.
[169:12-169:16] Speaker 1:  Артур и Андрей в итоге еще.
[169:23-169:33] Speaker 7:  Связи, я еще есть страданий инструментов. Какие задачи?
[169:33-169:34] Speaker 1:  Три треть решить, 34.
[169:36-169:38] Speaker 7:  Смотри, ну с я здесь еще просыпая задача.
[169:39-169:43] Speaker 7:  Первая этому формированию автомоблен по тай, третья, вторая часть.
[169:47-169:48] Speaker 0:  Нормально, нормально, нормально.
[169:48-169:57] Speaker 0:  Ты алмаз отмотировал от фрукча задача вот эти за перевод и куда варива пись, это нетреблемо. Это прияльно. Нормально. Нормально.
[169:57-170:00] Speaker 0:  Писать, поспеть, чувствую, тем правильно сейчас в ты главное с других бесед слышишь сними людьми?
[170:00-170:03] Speaker 0:  Да, Андрей, нюансов. Тебе микрофон.
[170:03-170:08] Speaker 8:  Так, значит, ничего не достаточно просто. Эффективный.
[170:10-170:12] Speaker 8:  Я компанию проснул.
[170:12-170:16] Speaker 8:  Я начал увеличить своих субтитров и сущих странов.
[170:17-170:31] Speaker 8:  Я открыл от четырех новых проекта эффективно, максимально сократина, без стоимости на открытость акта на 20% 20% сделал из грандиозных открытий, но и громкий.
[170:31-170:41] Speaker 8:  Я нашел и не кошел в нишу больную и в категорию, которую свой миллиард миллиард. Почему? Сольешься.
[170:43-170:46] Speaker 1:  сложного, что с пути, может, что нам помешать?
[170:46-171:00] Speaker 8:  Крутый план Только в всех виду пальных, кроме проблемки, новый ник, что здесь может кто сделать, помешать.
[171:12-171:17] Speaker 8:  Наверное, долгий побор нет, может принять какое-то время какое-то время.
[171:20-171:21] Speaker 8:  И то, не знаю, не знаю.
[171:21-171:31] Speaker 8:  Я же не буду давать трудно слово, кто-то ночего существует, не существует. Сложно сказать.
[171:32-171:34] Speaker 8:  Я могу, чтобы мисс Путин был бизнес.
[171:34-171:39] Speaker 8:  Наверное, учитывая, что уже судье воспадал, у меня один раз и был бизнес, и потом был наверх.
[171:39-171:43] Speaker 8:  Он взлетал, я думаю, что. Время.
[171:43-171:45] Speaker 8:  Только в этом было главное желание. Время.
[171:45-171:47] Speaker 8:  Поэтому ничего не будем менять.
[171:47-171:48] Speaker 8:  Может быть, зато.
[171:50-171:52] Speaker 1:  Смотри, какое время пошла на мери.
[171:54-171:56] Speaker 1:  Андрей, Андрей, так, спасибо.
[171:59-172:04] Speaker 1:  Ребят, я предлагаю, я приносил немножко до этого.
[172:05-172:10] Speaker 4:  Uh can you the font.
[172:15-172:21] Speaker 4:  Как выглядит говорят, я сформировал себя сломался в чат, буду озвучивать, могу с нас уже связь, критичных времени, но нет, озвучивай.
[172:22-172:24] Speaker 4:  Все что озвучили? Давай, давай.
[172:25-172:31] Speaker 4:  Знарост, писчика, подпи в 50 тысяч, 2500 стаграм, с течениями, вода.
[172:33-172:34] Speaker 4:  Потому что цепи.
[172:34-172:40] Speaker 4:  Потому что если это уже хорошо, грахрап, у тына, сто два, если это уже патель, такой тебест, семь заведила.
[172:40-172:43] Speaker 4:  Я бы рост доход.
[172:44-172:52] Speaker 4:  У меня сейчас я сторон 7 тысяч рублей типа от 200, чтобы это было.
[172:53-172:57] Speaker 4:  И выше под разные трусы, разные запроводы, разные работы.
[172:57-173:03] Speaker 4:  Дубай, я с вами и запуск на фонарь.
[173:03-173:04] Speaker 4:  Минимум от 100 человек.
[173:04-173:05] Speaker 4:  Вот это уже человек, суд.
[173:06-173:10] Speaker 4:  Супер пись, если вот елает вообще-то всеми защищать и вот такие вас.
[173:11-173:15] Speaker 4:  Но они мои одные, я странно.
[173:14-173:28] Speaker 4:  Я знаю, что я спросил, если не упадет не убить на миниально и меня что-то не знаю. Круто. Спасибо. Спасибо, Меня.
[173:30-173:31] Speaker 1:  Мне нравится нравится.
[173:31-173:34] Speaker 1:  Мне дает и Андрей, что я знаю, что короче я сделал. Что делать?
[173:34-173:51] Speaker 4:  Ну, я планирую, что будет, да, вообще я так, но не ожидала, как бы, что с пятом года вообще начнут двигаться из-за камери, а сам как своей что и вообще меняется все по живому года, потому что я прожил месяц в Бразилии, с Бразилия, и вообще я пишу это забежать, меня вообще на.
[173:52-173:55] Speaker 4:  Таких прошлых невких планов были планы, всем другие аны.
[173:55-173:55] Speaker 4:  Поэтому
[173:56-174:06] Speaker 4:  пойму, как бы, если Я позволю, если не происходит жизнь так, как происходить происходит, то будет должно все получить.
[174:07-174:12] Speaker 4:  И какие-то ксеориты непометные падают.
[174:12-174:15] Speaker 1:  Жизнь сама происходит. Сама происходит. Да, да.
[174:16-174:18] Speaker 4:  Ну, это события, которые я могу всем нравить.
[174:19-174:22] Speaker 1:  Вот мне интересно, вот этот вот ясно, вот я могу.
[174:24-174:36] Speaker 4:  По сути сфера, все влияет пищи, палеки, фоны, штрафу, все на все влияет. Спасибо.
[174:38-174:39] Speaker 1:  Ребят, давай я предлагаю финансовать.
[174:39-174:46] Speaker 1:  Я предлагаю жалеть немножко, я микрофон еще открыл. Сегодня мышцы.
[174:46-174:47] Speaker 1:  Что мы успели сделать?
[174:48-174:51] Speaker 1:  Познакомьтесь комерцы, либо за открыл, спасибо.
[174:51-174:54] Speaker 1:  Спроектировал свою точку Бу.
[174:54-174:57] Speaker 1:  Кто-то спел, кто не узнал, арто конца, это не часа урну.
[174:58-175:02] Speaker 1:  Ну да, это не раз часа, не за два дня, или сожаления.
[175:03-175:07] Speaker 1:  Успеть посмотреть цели по плану, и что мы сяжей шать на путь, может поменять.
[175:07-175:10] Speaker 1:  И сейчас я сейчас попросить хочу.
[175:10-175:13] Speaker 1:  Ну, просто бдить так же, что-то подтвердить, когда рос, как и.
[175:13-175:18] Speaker 1:  Выходите, пожалуйста, скажи я так к стреляю и группе, кто дальше пойдет с нами.
[175:18-175:20] Speaker 1:  Я с кем вижусь, с кем сыбрать время.
[175:20-175:23] Speaker 1:  Вы сегодня понятно, наша задача последняя сегодня это.
[175:23-175:28] Speaker 1:  Нать время как-то выбрать встречаться, когда будем всех, кто истинно такой, давай, реально буду с вами, ребят, работать, мы дальше хочу.
[175:29-175:43] Speaker 1:  Первый кварт 6-го года 26-то мода после того, чтобы делать первых неумаки, отдать навыковая очень, которых все говорили, много уже присвоения от первого лица, креатив, крепкий работе У нас там массично, интересно, еще есть.
[175:44-175:48] Speaker 1:  Дима, вот заметьте, правильно, я уже я логово там пятлю списал, что дальше стоп, дальше.
[175:48-175:50] Speaker 1:  Нормально, первый дом вонти.
[175:50-175:51] Speaker 1:  Шак, только первый.
[175:52-176:06] Speaker 1:  А то, кто больше, даже прям, я где прошу по очередь микрофона исключать, что вы сказали, почасту я хочу с этой идти, и дальше три месяц регулярно работа на своей цветы на изоточек.
[176:07-176:10] Speaker 3:  Я хочу эти, да, хочу вместе дальше, работать.
[176:10-176:11] Speaker 3:  Целью из них.
[176:11-176:15] Speaker 6:  Я хочу тоже как озвучить оценки полстые, пожалуйста.
[176:16-176:20] Speaker 1:  Нет, раз у вас разве шловик у меня? Нет.
[176:21-176:48] Speaker 6:  У меня там просто раз киночку, айте, нуляпу, и у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас у нас, ну, вот так вот, ну, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот Давайте я вам тогда сейчас напишу вообще знать отслуги эти слова. Есть?
[176:50-176:54] Speaker 10:  А это садный обратно. Кто?
[176:54-176:55] Speaker 1:  Никто не знал.
[176:55-176:56] Speaker 1:  Все они условия знают какие-то.
[177:01-177:06] Speaker 1:  Я уверена, но была уверена, что абсолютно в Кувы, что за Фурсе, что кузру, зачем мы зачемся?
[177:06-177:11] Speaker 1:  Давайте я покажу так прям сейчас, что уж куда у меня тут на сушку такого сразу.
[177:12-177:13] Speaker 1:  Пока нет что, а ч<unk> секрет?
[177:14-177:15] Speaker 1:  Сейчас прям рассказ я вам хожу.
[177:15-177:19] Speaker 1:  Скажу пока очень просто, очень длоястый очень реальный такие.
[177:19-177:23] Speaker 1:  В первую очередь, чтобы для давать уже формированный принесение.
[177:23-177:26] Speaker 1:  Так, сейчас, кнопочку. Секундочку.
[177:30-177:34] Speaker 1:  Так, да, выбираем фокус о предпринимателе максимум.
[177:34-177:38] Speaker 1:  Все мы будем круг от 10 сегодня, который был в три месяца.
[177:38-177:45] Speaker 1:  Только что за первого года работать, что вот прогноз орсе, ты еще уберем две месяца, влезет это сейчас, стоимость ждем за счет этажа.
[177:45-177:47] Speaker 1:  Ну просто первость, это было для того, чтобы первый шаг домицы и нам познакомиться.
[177:47-177:48] Speaker 1:  Да, да, понятно.
[177:51-178:08] Speaker 1:  вообще да или не сюда я хочу сюда я не хочу или вот этой группы эта идея вот главное озвучить ее поля собственно где собрать внимательность кто готов идти Те 10 фуковых с процентов, что все классно, в том году будет расти, кто будет к садике, две инцены свигаться, крыгаться в первом деведу.
[178:09-178:12] Speaker 1:  А, они от 93 бентов процент был.
[178:12-178:29] Speaker 1:  меняет если структура законит много много чего много мнений круг из маленьких больше возник еще будут можно будет навыки но те мы будем говорить которые в мене трех месяца того чтобы они для то есть все кризис вы могли про Будет четко проходить себя с четборойными с такими петуми. Куда я? Кто я? Вот.
[178:30-178:31] Speaker 1:  У нас групповая смотана.
[178:31-178:34] Speaker 1:  Вот персонально смотано на точке для фокуса для каждого.
[178:34-178:39] Speaker 1:  Сегодня от каждого мы здесь с вами сделали большое зативо вам.
[178:37-178:39] Speaker 1:  Регулярное давайте внутри черем время.
[178:39-178:58] Speaker 1:  Вместе вы часто, как часто, и периодически с какой деятельностью в вашем движении В этом вот материфорастам этим возможность появится можно высочего ребята, в зависимости от того, что сколько сейчас будет, да, сейчас, но еще неделю наследует именно уже начать.
[178:58-179:03] Speaker 1:  Паша Паша говорим, а как сегодня по сниму Паш книга целовал регулярно.
[179:03-179:11] Speaker 1:  У нас тут есть вот у нас я знаю, Дима. Я восточно.
[179:13-179:18] Speaker 1:  Вот место Это то, что вмедляется, что будем Рома Дрекером.
[179:18-179:22] Speaker 1:  Рома прям будет следить за гласями, за вашим, за вашим мать, следить за треке, маркером.
[179:23-179:42] Speaker 1:  для себя как вы чувствуете на пути сегодня вы свои сказали нам специали тоже за сила вам еще раз сообществ это равно вот ровно которых те люди еще люди возможно этой же ли это Это те, кто астермайн, наши вот из этой жили предприятий, кто снимается свободен сам за.
[179:43-179:51] Speaker 1:  Сам выберу расти, играет Кудмая 3, принес в Свегаиске, это в общем грантии, доступ и, естественно, обмениваться мы будем.
[179:52-180:02] Speaker 1:  Капитан, наши банды, группы, вы между собой, проектами, так далее, стопами, связи с тобой хочет, кто где-то в какой-то точек, ну, просто чищенный забор.
[180:02-180:04] Speaker 1:  Книги, собственно лишь, производный, учеб где-то там.
[180:04-180:12] Speaker 1:  То есть мы не что формат ваша чума, а то вас объединяем вместе с задачкой называем работать.
[180:14-180:28] Speaker 1:  Так, руку подниму вижу вот условия простые вот три месяца идем этот три внедряем на группе за вниз название Опа, что нам под что-то подсказывает?
[180:29-180:30] Speaker 6:  Так как я вопрос снял?
[180:31-180:32] Speaker 6:  Я не знал, уже не знал.
[180:33-180:38] Speaker 1:  Вот фокус попадаем на ближайшие три месяца, на ближайшие первые гости.
[180:38-180:50] Speaker 1:  Январь филла, то есть февраль манка до конца. Это два.
[180:53-180:56] Speaker 1:  Вот у нас очень неделю поставить на семь.
[180:56-180:58] Speaker 1:  Сегодня мы с вами первый шаг группа делали.
[181:07-181:10] Speaker 1:  Так что, ребят, кто вы там.
[181:11-181:12] Speaker 0:  Люборов в чат.
[181:12-181:17] Speaker 0:  Поставь это адекватно по сильно. Проверяйте, пожалуйста. Делаем фокус.
[181:18-181:20] Speaker 0:  На карте скота. Ран, добро.
[181:20-181:21] Speaker 0:  Я с количеством хочу висить по доллару.
[181:22-181:23] Speaker 0:  Значит, у кому это кто на пассив?
[181:23-181:24] Speaker 0:  Мы с вами сильные.
[181:24-181:27] Speaker 0:  Дальше вместе с планом работаем. Работаем корчем.
[181:29-181:33] Speaker 11:  Смотрите, пока смотрю ставить долго, так я тебе скажу какую идею.
[181:33-181:40] Speaker 11:  Сам Андрей новую, не новую самое сложное, сложное двинуть место.
[181:41-181:44] Speaker 11:  Дальше он едет уже, он едет попроще. Проще.
[181:44-181:49] Speaker 11:  С вами наш будет на задачу месяца, три микросвода, как вот правильные справи энергии.
[181:50-181:52] Speaker 11:  Правильно мы сегодня некоторые.
[181:52-182:02] Speaker 11:  говорит задать импульс правильно если вы это делаете будете сами знаю не методы своими методами скочки ценным эффективно.
[182:02-182:16] Speaker 11:  Самый эффект, то есть сам тяжелый, самый этап правильного влияния, нам направое главное с энергией, бором и махину эту фокусу, куда том бы сегодня мы ее сформировали, формулист создает пока все дважды.
[182:15-182:18] Speaker 11:  Сегодня мы с вами сектор с вами вепировали, промурили.
[182:18-182:20] Speaker 11:  Осталось двигалостная движения.
[182:20-182:24] Speaker 11:  Первые шаги шаги в месяц можете выбрать в это сделки в группу.
[182:25-182:31] Speaker 11:  Вдруг у вас Паша с помощью скробный как трейд менякера в этой группе.
[182:31-182:32] Speaker 11:  Вот в этой группе.
[182:34-182:38] Speaker 0:  Под Раз в две неблагодара норм неделен или и темпачать начало пеще, под как вы суть себя чувствуете.
[182:38-182:41] Speaker 0:  А поиска групп человек буквики, дать получился 110-60.
[182:41-182:42] Speaker 0:  Год
[182:42-182:55] Speaker 7:  человек в двенадцатом зависит от максимум сейчас под того, кто пит Можно возьмем кормы при группе кочека есть, но в катурасизму двенадцать максимум средний лон и тонем создал два тоже по распалость запада.
[182:55-182:56] Speaker 7:  Да, именно так.
[182:58-183:02] Speaker 1:  Тут работа, ключевая, я тебя ключова от меня, грубо часть ключев.
[183:02-183:04] Speaker 1:  Это не созвоняя работа, ключевая развона.
[183:04-183:08] Speaker 1:  Работа места звона. Модульно пространство. Давайте проведем.
[183:08-183:11] Speaker 0:  Так, давайте сейчас мы верим скотча Арчета Про. В чем? Дабдре, добро.
[183:11-183:16] Speaker 0:  Антур, Ро, Арт, так, я, Жень, Димат. Кто еще?
[183:16-183:17] Speaker 0:  Так, мимо мимо.
[183:17-183:23] Speaker 0:  Ты идем все принять. Да? Состали. Кто еще? Медея. Медея.
[183:24-183:27] Speaker 0:  А, женщина хорошая, мне тоже не даешь, что так.
[183:27-183:32] Speaker 0:  Ты знаешь, как ты его сгруппировал в этой фото, нет? Так, сейчас.
[183:32-183:34] Speaker 4:  Так, сейчас.
[183:39-183:40] Speaker 11:  Микрофон, я не могу.
[183:41-183:42] Speaker 11:  У тебя был был выключен.
[183:42-183:44] Speaker 11:  Ты вы включен, выключил.
[183:47-183:50] Speaker 0:  Прибудем ли в Дмитрийные группы мы подобгодоровенькую через путь?
[183:50-183:51] Speaker 0:  Конечно, мы нет констарта два.
[183:51-183:51] Speaker 0:  Сейчас дел года.
[183:52-183:55] Speaker 0:  Ты можешь всегда просто нападать и по нашел сток. Типродукт. Клагманс.
[183:55-183:55] Speaker 0:  Сейчас мы делаем.
[183:55-183:59] Speaker 0:  Сейчас предпринимаем фокус-групп, стартовый тальскую, если ты считаешь какую-то, то есть стартовый год действительно старт.
[183:59-184:00] Speaker 0:  Вот мы такие делаем вообще.
[184:01-184:10] Speaker 0:  Это то есть это Новый год, а вот сейчас мы просто, честно говоря, зазвичай я еще активный комплект тест, просто такую новую группировку, небольшим мы в фокуске.
[184:10-184:12] Speaker 0:  с Денисом, как мы сейчас делаем, с бойносами.
[184:12-184:18] Speaker 0:  Вот мы сейчас вот и готовым такую комплекровку, с какой группы будем от тема сейчас, год встраивать распис вектор.
[184:19-184:26] Speaker 10:  Я думаю, важно черкнуть, тоже путь то, что не сам Денис Мастин участие, в том числе Майндер, да, следует.
[184:26-184:33] Speaker 10:  Мы возможно посередине группим, как и понять, но Денис понимает, находится источник как один.
[184:32-184:57] Speaker 10:  участников из участников это продукт то есть он изнуту кто имеет три знак шесть знак спаш три том изнуту то есть ни с чем на высоком на таком абсолютно доверие война сегодня что он сюда потому то сам что часть того ну сегодня вот что сидели да мы проходили то что ходим на работу проходим отрабатываем на себе это все получал и ощущаю просто там а не шол видел там слышали тогда Ты можешь пользоваться?
[184:59-185:02] Speaker 4:  Подумай, надо посчитать, надо читать.
[185:02-185:04] Speaker 4:  Сейчас ты готова. ответь. Хорошо.
[185:04-185:07] Speaker 0:  Харнаталий тогда, скорочная держись к связи.
[185:09-185:11] Speaker 0:  У меня есть личный формат, все это подработает.
[185:11-185:20] Speaker 0:  Здесь дорожный формат все такой, который Доступны, то есть по деньгам механика-то поддерживаем, в котором вот так еще есть.
[185:20-185:21] Speaker 0:  Нет, не еще не нравился, ребят.
[185:27-185:29] Speaker 0:  Ну на всех, но не на всех.
[185:30-185:35] Speaker 11:  Просто вы это так такой же, как в формат тренде, мастер май, вы ребята.
[185:36-185:38] Speaker 0:  Андрей, со связь, все хорошо.
[185:38-185:39] Speaker 0:  Все, давай, все хорошо.
[185:39-185:41] Speaker 0:  Андрей, давай давай.
[185:41-185:47] Speaker 11:  В этот с какой личность паше в участии получится больше не 700 в Интерман. Спасибо.
[185:50-185:57] Speaker 0:  Так, итак, хорошо, значит, подытос, значит, значит, у нас сегодня мы ответы от 13 с нами, ребята, те, которые, значит, ребят, с нами.
[185:58-186:02] Speaker 0:  Вдруг решил, если ты вот там как снова путем, а им там кинуть тебе один.
[186:02-186:07] Speaker 0:  Что если у нас есть флаг, он там еще лист гораздо наташи?
[186:07-186:09] Speaker 0:  То есть ты вот пообщее, там есть, чтобы быть.
[186:09-186:12] Speaker 0:  Единственное, что там вот фактически не вот в новой формате группы небольшой, предпринимательство.
[186:13-186:19] Speaker 0:  А то там человек поток, то 100 кста, то есть вот 50, в котором есть вы находится про бинарки, прям по моим полноценной методике.
[186:19-186:21] Speaker 0:  Здесь работает фишка, вот основная группа.
[186:21-186:23] Speaker 0:  Это мало в ней будет, то есть по 2 человек.
[186:25-186:25] Speaker 0:  Здесь вот-вот.
[186:25-186:41] Speaker 0:  То есть сегодня, как мы с там по общественность каждый, мусачали, здесь слышали, трекер, сервис, вот так далее, уровень сам и ущелье соответствует, который чаще люди, которые принимают все либо Любатели, жирочка, топ-менеджмент, то есть это прошу, но банк это двумя грустность малосочка, приятная, очень такого, но схема формата есть, но взаимодействует.
[186:41-186:45] Speaker 0:  Если сейчас там и носить деньги, прословность тугоми там этому даже на то имени.
[186:45-186:48] Speaker 0:  У вас есть в виду на дух, то он дипломатский просвет, может, шевлест.
[186:48-186:51] Speaker 0:  Нет, он присоединился стартовал недавно сам дал вас, ну, включат.
[186:52-186:55] Speaker 0:  Если сейчас остров в этом медицине необходимо.
[186:55-186:55] Speaker 0:  Так,
[186:55-187:04] Speaker 11:  короче, еще вопрос: что есть вопросы какие-то Дешевле стоит дешевле общего участия форматучих групп, где вы с 5 там стиста тися на ста человеком под флагман.
[187:04-187:09] Speaker 11:  В вип-токе есть формат Пашине, где я нет, есть там со мной 3 часа.
[187:08-187:09] Speaker 11:  только
[187:09-187:33] Speaker 11:  вот вы сейчас тоже и тоже 200 вы сейчас получаете офис или по работе с плашей спа по факту продукту флагман с пашей не путик где но то нету офер я такой реально знаю что там с наташей паше задумывали до предна этого плеча с барсовый год подумали подарок Поэтому еще раз подумайте. Все, хорошо.
[187:35-187:38] Speaker 11:  Возможно, поиски продофланг продукт Well Ya.
[187:41-187:42] Speaker 0:  что мы еще есть.
[187:42-187:49] Speaker 1:  Нет, просто сейчас все, брат, с ребята, что с собой петушать ключевой забирает и воин самить. А вязал.
[187:49-187:57] Speaker 7:  Ребят, есть Лери рассроч, которые точки, как они могут залезть прямо еще. Очень курорт.
[187:57-188:04] Speaker 1:  Могу поликонкретно воздать, как вокруг в этой форме мы хотим с которой найти, а у нас критерий один из спокойных, это среди посильных ничего.
[188:04-188:07] Speaker 1:  Там с небольшой дымом-то срочно-то еще и точки.
[188:07-188:07] Speaker 1:  Просто здесь нет.
[188:08-188:13] Speaker 1:  Пассивный тот, который уровень тормально. Качество окружения.
[188:13-188:17] Speaker 1:  Есть у нас похоже, на которой идет мастера информации.
[188:17-188:18] Speaker 1:  Возможно, вот гинем.
[188:18-188:20] Speaker 1:  Мы обилием мужчина в какой-то момент с вами.
[188:20-188:27] Speaker 1:  А производство для того, чтобы ребятам, то 7 за 800, кто там миллион, за 2 минуты шел, мы с ними возможность работаем. Фокус группы. Зависит сейчас.
[188:27-188:29] Speaker 1:  Вот я сейчас от того, прямо сейчас, прям я собралась.
[188:29-188:31] Speaker 1:  Сейчас я читала подтверждение и под вас.
[188:37-188:40] Speaker 0:  скорее всего, то есть просто будем в него, мы просто в одной группе вместе вот очень хорока работы людей.
[188:41-188:44] Speaker 0:  Хороший, вот очень хорошая, очень хорошая такая прям ну флаг.
[188:44-188:47] Speaker 0:  Это моя длинная меня, но фор.
[188:47-188:56] Speaker 0:  Я прям внимаю, где я жил занимательность То есть, ребятами, вот это такая статальная вы отдельная фишка принимательная предпорвани или высокую ощущение, при мне сняться или метная общая, или мои мои коллеги.
[188:56-189:04] Speaker 0:  То есть, друзья, в гради там вот год, да, и низ, но вижусь, и всем Хорошо, это очень а есть просто носить какие-то или финали, а буду финалем вытяжки?
[189:05-189:06] Speaker 1:  Да, все финали.
[189:06-189:07] Speaker 1:  Сейчас я уже финал про вас.
[189:07-189:08] Speaker 1:  Я отвечу еще по формату.
[189:09-189:10] Speaker 1:  Кому ваша уже сказал?
[189:15-189:29] Speaker 1:  там я вот там там рома вот перед ваш там чай питки заходим просто спонтанно если это яново тут плавится группа он встречает там он с поработает захотел спонтанного купить чай зашел в любое время Пугая чего так не пить, мне чай сидит в смысле отговаривать этот разок попивать, а он че, он раздрает, ну целый, да.
[189:30-189:31] Speaker 11:  Сбор где-спонтан, но просто незабанно.
[189:31-189:33] Speaker 11:  Это вам может планировать, и может повесить за поток.
