Date: 2025-12-29T21:14:25Z
Duration: 159m 1s

[01:01-01:04] Ivan Belyankin:  Вроде все запустилось.
[135:22-135:23] Павел Кочкин:  И именно так я хочу.
[135:23-135:23] Павел Кочкин:  Вот так и вот чу.
[135:24-135:24] Павел Кочкин:  Те аспекты меня радуют.
[135:24-135:26] Павел Кочкин:  Как ты меня вот это ру, и я не воль.
[135:26-135:31] Павел Кочкин:  Сидеть в экстресе хочу лица, к цель там вы лучше иногда посущил моих коллег, просил Петина, так вот так далее.
[135:34-135:37] Павел Кочкин:  Ну, Дениса, вон, насколько я просите, как у меня в курсе куда-нибудь конверт.
[135:38-135:40] Павел Кочкин:  Последнее, что я делал, конечно, я не знаю, что я мне деньги.
[135:40-135:41] Павел Кочкин:  Сколько тут концу меня?
[135:41-135:42] Павел Кочкин:  Я сейчас месяц шучу.
[135:43-135:45] Павел Кочкин:  То есть мы можем у нас монотаж сейчас, а он идти похож.
[135:45-135:47] Павел Кочкин:  Прости, не заработал что-нибудь в месяц или не консуль. Нет.
[135:47-135:50] Павел Кочкин:  Вот и вот совершенно я своим делом за.. Совершенно нет.
[135:51-135:57] Павел Кочкин:  Я намах, вот прям работаю на всем, а дальше людей говорю, что все верит хорошо, аккуратнее себе темружая, которые со мной людьми в одной лодке.
[135:58-136:00] Павел Кочкин:  На система ценности системы. Я истин.
[136:00-136:01] Павел Кочкин:  Такую был именно к себе строил.
[136:01-136:04] Павел Кочкин:  Слушающее ненавижу, я реалирую все на шик на показателях.
[136:04-136:05] Павел Кочкин:  По этой теме я выиграл, понимаешь, подвод.
[136:05-136:06] Павел Кочкин:  Я этот кошемие.
[136:06-136:09] Павел Кочкин:  Якобы 300 часа, а у 1009 тысяч еще 10 лет один и не отработал.
[136:11-136:16] Павел Кочкин:  Очень хорошо за оч, что такое знаешь Цессу, вот ты справа знаешь и до одну отдать программист, этого про математики и тех дарил.
[136:16-136:17] Павел Кочкин:  Ну, это хватит.
[136:19-136:23] Павел Кочкин:  Поэтому я звод, поэтому только льда нет и на людьми, не на людей направляй и так далее.
[136:23-136:23] Павел Кочкин:  Бей и ты меня спросишь.
[136:23-136:25] Павел Кочкин:  Дальше, а зуб встречи.
[136:25-136:28] Павел Кочкин:  Ну, кстати, я хочу сказать, а это я только не в ресторане сколько с ваном съезд.
[136:30-136:33] Павел Кочкин:  Жлать меня причем жанр ресторан, знаешь, я вот шукаешь до дома.
[136:33-136:44] Павел Кочкин:  Вы въезду и шел в синюю дверь и сось, поэтому сел мне мол или отчаянно назначил, значит, типа ставься, пожалуйста, в оба вот пов и на облом, когда ко мне та шкала нажел прижимал соседний лавот, ну и во вломом доме или кушать совсем, понимаешь?
[136:44-136:45] Павел Кочкин:  Желательно вот меня ета.
[136:46-136:53] Павел Кочкин:  О, я не на я не нафиг, да вижу есть, типу дата, а дискутыровать говорят, а нет, я здесь надо, мы не варины деньги допса Он не саме, вы его все врезят.
[136:53-136:55] Павел Кочкин:  Окей, такая форма ему отходит, он не подходит.
[136:55-137:01] Павел Кочкин:  Ездит в ум с утричкой вор работает, да там понимаешь, что Нисо Денис прикольный суп делает коктейль.
[137:01-137:06] Павел Кочкин:  Вот это вся, он и счастье другой друг, а ум и Мари будет внимание принимать.
[137:07-137:08] Павел Кочкин:  Мой мой именно так.
[137:08-137:12] Павел Кочкин:  Именно я задам и твое твоя домашняя чита снервое и тирс.
[137:12-137:13] Павел Кочкин:  Сколько ты рыбай?
[137:14-137:18] Павел Кочкин:  Сколько ты за ногу, сколько ты пуком будто ты общаешься сколько своему правед сомсилия? Нет, да?
[137:18-137:31] Павел Кочкин:  У тебя на них, сколько людей, это кто у тебя взуг, кто и с кем ты зумом рестораны Сколько они смотришь вот как раз таблицы с сердцепиано или сколько у них, если у тебя фоне, противный звок, проверяешь, что оно Мелли, ты его промируешь, фонищий снимай, морить ли вы сердит и так далее.
[137:31-137:31] Павел Кочкин:  И хорошая новость.
[137:31-137:37] Павел Кочкин:  Хорошая миряешься, привязанные себя растумчики, кости, и в какой-то понимаешь в этот момент?
[137:36-137:37] Павел Кочкин:  Вот я буду стрелять.
[137:37-137:38] Павел Кочкин:  Так установлено стремиться.
[137:38-137:41] Павел Кочкин:  И да, понадобится это время, какое-то, и да, будет зеленый риск.
[137:42-137:49] Павел Кочкин:  И да, тебе предстоит дать чуть-чуть себя крутой модели, чтобы себя за тебя то очень путь ориентирован, а не об этом Да, ты двигаешься вперед.
[137:50-137:53] Павел Кочкин:  И на уровне Икста уровни работал очень даже. Очень даже.
[137:53-137:53] Павел Кочкин:  Ну ты мне рассказал.
[137:54-137:55] Павел Кочкин:  Теперь, пожалуйста, работай на устопании.
[137:57-137:58] Speaker 10:  Ощущение, шнув состояние.
[138:00-138:03] Павел Кочкин:  Тущение, ощущение, чуть телесное состояние, сосвентирование, арестовать.
[138:03-138:04] Павел Кочкин:  Вот этих экс.
[138:04-138:06] Павел Кочкин:  Тест, перемявов, тест-драйве, что это переправит.
[138:06-138:08] Павел Кочкин:  Самая татарная награда, что и поднимется.
[138:08-138:12] Павел Кочкин:  Пожалуйста, елочь его решить, да выяснить как мне на в этой руке именно, как боли, но в это поле именно.
[138:12-138:17] Павел Кочкин:  Как Оле, на это тут не MC, там уровень твой другой, вот с кем хочу работать, с кем я хочу, да не хочу челлендж.
[138:18-138:22] Павел Кочкин:  Ты будешь выматывать, выхматывая как бы на шайну.
[138:21-138:24] Павел Кочкин:  К таги чувствую, кому что и наград, утратила в романтика.
[138:24-138:26] Павел Кочкин:  Так у меня шкусь, такая такая объясненость.
[138:26-138:28] Павел Кочкин:  Буравлюсь с достойной цель.
[138:28-138:29] Павел Кочкин:  Вот он мой план.
[138:29-138:31] Павел Кочкин:  Вот тысяча двадцать надведовой.
[138:30-138:32] Павел Кочкин:  Вот что цель полотмает, ест и вагонет.
[138:32-138:34] Павел Кочкин:  Это сделает, и у тебя будет внимание, будет в нем хватывать.
[138:34-138:36] Павел Кочкин:  Мышь внушение вот такие.
[138:36-138:40] Павел Кочкин:  Тело будет делать, а тело аааа так с утра будешь, а, если ты сама так вставай, щекой кайфов внутри.
[138:40-138:43] Павел Кочкин:  Хочется такое науку я пули, шуту задрешу Удачи.
[138:43-138:44] Павел Кочкин:  И такая брать. Вот.
[138:44-138:45] Павел Кочкин:  И сразу есть контакт.
[138:45-138:46] Павел Кочкин:  Есть между тебя.
[138:46-138:50] Павел Кочкин:  Понимаешь, дело вой, головод, манием, как в ним же повсюду платывает.
[138:50-138:53] Павел Кочкин:  Ты подсознал новый зрешь, ты на нет что будешь. Снос.
[138:53-138:55] Павел Кочкин:  Спасибо, слыбут кружку, а в году трубушь полиции из-за совершения поспаться.
[138:57-138:58] Павел Кочкин:  Все с подорожным, понимаешь?
[138:59-139:00] Павел Кочкин:  Все рисуются в этом направлении.
[139:00-139:06] Павел Кочкин:  Вот и вода прям подценивает, так все вперед. Да, офигенно. Спасибо.
[139:09-139:15] Speaker 10:  Ну, я понимаю так, что мне нужно проработать вот работу глубоко, а я провод.
[139:17-139:19] Speaker 10:  Майжно, ну я так понимаю, так понимаю.
[139:22-139:25] Speaker 10:  Я хочу работать про свою цель.
[139:25-139:27] Speaker 10:  Я чувствую, я что хочу.
[139:27-139:32] Speaker 10:  Да чувствую я, что Эм Пер я пробою работаю.
[139:32-139:35] Speaker 10:  Цель эта цель, которую вы сейчас озвучили.
[139:35-139:41] Speaker 10:  А потом я уже потом переступ к другим, к другому тому сценарию. Молодец. Молодец. Именно.
[139:42-139:48] Speaker 10:  Обнимаю, пари, топнимай, то спасибо. Спасибо.
[139:48-139:51] Denis Sh:  Ну что, потихоньку по фоне шклем.
[139:51-139:53] Denis Sh:  Финаль сегодняшнего встреча. Встретиться обратно.
[139:53-139:55] Denis Sh:  Дайте ребят на светло. Кто вообще?
[139:56-140:02] Павел Кочкин:  Ой, а у меня ось конфрод куда пойдите, а просто вот и пождите вот что-то знает, что сделать в этот зайдите в фокус года.
[140:02-140:04] Павел Кочкин:  Сейчас фокус года чате ф и фгода фокус года.
[140:05-140:07] Павел Кочкин:  Пишите сейчас в тисячам, впереди телеграмсу, друзья.
[140:07-140:08] Павел Кочкин:  Пожалуйста, исчезнет, зумник.
[140:08-140:10] Павел Кочкин:  И напишите, что пишите. Самое целое.
[140:10-140:13] Павел Кочкин:  В СССР вечер для серты стреляли, хотя взял по одной строке обувь. Я почитаю.
[140:14-140:16] Павел Кочкин:  Можем так сделать? Не сможем.
[140:19-140:20] Павел Кочкин:  Внимание с года.
[140:20-140:23] Павел Кочкин:  Фокус читаю, а я все, что вы напишете.
[140:23-140:26] Павел Кочкин:  Ребята, для чем это ценимасы для меня, чем этот чат чему?
[140:27-140:37] Павел Кочкин:  Вот это не зуб, вот это вот зум ограммчатели, вот те самые выжимки, которые вы что, вернее вы по наш назовете, смотрите, что ты пошло самое штанное, что вам шни для себя применения Как тебя?
[140:37-140:40] Павел Кочкин:  Ваша планя к во мне, вот это трафирование будет вкус разбудь интересным снаминам сильно.
[140:40-140:43] Павел Кочкин:  Давайте для себя сделать очки подзамет, то вы можете с тонком вращаться. Смелого знаю.
[140:43-140:46] Павел Кочкин:  Я сейчас поэтому вычитаю, что будет нетрасивый финал.
[140:47-140:48] Павел Кочкин:  Итак, да, Иван Тайм.
[140:49-140:53] Павел Кочкин:  Самое главное, а шапция и планирую ошибки примеры необходимость. Понаглядство. Спасибо.
[140:53-140:55] Павел Кочкин:  Я тот, кто выбирает, кто вы.
[140:55-140:56] Павел Кочкин:  Да, хорошо.
[140:56-140:59] Павел Кочкин:  А, Иван, значит, возьмите, а отсюда и сделать себя небольшую занятую теничку.
[140:59-140:59] Павел Кочкин:  Хотите мне тут?
[140:59-141:01] Павел Кочкин:  Сейчас я тебя вам планировал ошибки кину в чат.
[141:01-141:04] Павел Кочкин:  Мне сможете туда вынести. Перенести. Вот.
[141:04-141:06] Павел Кочкин:  Арения, рекламируем, ошибки тоня.
[141:06-141:16] Павел Кочкин:  Можете использовать со сета в будущем в будущем для а Я их уже ел в телефон. Запись бы. Спасибо. Да, хорошо.
[141:16-141:17] Павел Кочкин:  Просто туда пошли я пчаться, чтобы этот чет.
[141:17-141:20] Павел Кочкин:  Но это не только ты, не только вот, потому что тик такой архитектор на свете хенса.
[141:20-141:22] Павел Кочкин:  Хифай, знаешь, вот это.
[141:21-141:23] Павел Кочкин:  Чтобы вы мог собрать. Могли запасибо.
[141:24-141:25] Павел Кочкин:  Так, читаем. Дальше.
[141:25-141:28] Павел Кочкин:  Практически красной скезил. Да, Марк.
[141:28-141:29] Павел Кочкин:  Да, а еще раз да, ищу.
[141:29-141:30] Павел Кочкин:  Это не да. Это круто.
[141:30-141:34] Павел Кочкин:  Это возможность перспективы. Это перспективы.
[141:34-141:36] Павел Кочкин:  Это это ааа.
[141:37-141:37] Павел Кочкин:  библейская
[141:38-142:00] Павел Кочкин:  сказав уныние о тех игре что это означает что красный марк тот кав но это как рубляшно то есть пожалуйста я не нажал вас зовут знака вот здесь Значит, это э-э это близко к Бибрукция и возлюбили как себя ближнего, то есть сама себе к зеленой маркетиуста к близкому зеленым ближней маркети и это и родотворце первое, то есть видеть сам сату и видеть красоту.
[141:59-142:10] Павел Кочкин:  Вот это то, что позволит того, чтобы дальше вам лить не а не получать по мозгам, откуда ты там там не извини, брат, содержанный, поэтому она имеет маркер, который инглунивер, то есть пожалуйны прямо остался это свайб.
[142:10-142:13] Павел Кочкин:  Очень реально ценный па Дальше так читаем гений.
[142:13-142:16] Павел Кочкин:  Являть планер сделки года равнем 16. Вместе внешно.
[142:16-142:18] Павел Кочкин:  Тикань зеленая марка прекрасно.
[142:18-142:19] Павел Кочкин:  То яркий год, где я очиливаю.
[142:19-142:21] Павел Кочкин:  Значит, жизнь специальное движение.
[142:21-142:50] Павел Кочкин:  для тебя как делать как Настя вместе с мысом прошлом из день раз на этот раз как ну он сказал что день пять минут по самой цену но сами только мы вообще а были там это у тебя есть где мы запись мы делаем симмост с министра света попала световета нет этого нет вот это все на изреза я в начале этому вырезал начало этому сам ай как интересно интересно тогда ладно специально разрешение когда ты 16 ты будешь Деньги планирования делать?
[142:50-142:51] Павел Кочкин:  Женя не гостирует.
[142:51-142:52] Павел Кочкин:  Спикси для тебя.
[142:52-142:53] Павел Кочкин:  Знаешь, что я сделал?
[142:53-142:55] Павел Кочкин:  О, ответь вот так.
[142:55-142:56] Павел Кочкин:  Тебе, короче, пишу.
[142:59-143:01] Павел Кочкин:  Сайн литературе, как с тебя планировал делать в Насте?
[143:02-143:05] Павел Кочкин:  То есть, когда жена плани мушишь вместе, рекирует два бизнеса, когда добро планируют в партнерстве.
[143:05-143:07] Павел Кочкин:  Вот вместе следует последнее следующее.
[143:07-143:11] Павел Кочкин:  В начало часа кала ты делаешь в одной работе лицо.
[143:11-143:17] Павел Кочкин:  Не отдельно Женя, Настя отдельно отдельно мол, молча с тобой с тебя я вот любез хочу.
[143:17-143:19] Павел Кочкин:  Вот это вот с тобой тебя у меня вот лыбести зажигает.
[143:19-143:24] Павел Кочкин:  И вы делаете ту продел, которую мы работаем, предназначаем ровно подделаем.
[143:24-143:33] Павел Кочкин:  Вот это от Лица первого маркер зеленой ровки и семь слева их мотив, мясо, талантов, фактов, то есть актуально даете создать собственность свою судьбу по ты идешь само полностью этим жизнь.
[143:34-143:40] Павел Кочкин:  Настя отдельно, ты отдельно, ты отдельно После этого пост вызвал здесь вместе с загибелом за ужин.
[143:40-143:42] Павел Кочкин:  И начните диалог.
[143:42-143:43] Павел Кочкин:  Начинайте будет два вопроса. Вопросы.
[143:43-143:45] Павел Кочкин:  Два вопроса и один за одна абсолютно.
[143:46-143:49] Павел Кочкин:  Ты задашь человек ей, вопрос когда дорагазывай. Часка хочешь.
[143:49-143:50] Павел Кочкин:  Что ты хочешь?
[143:50-143:52] Павел Кочкин:  И я надеюсь, там будет найти цельной фокуниотыровки.
[143:52-143:55] Павел Кочкин:  Формуров, избавиться от типы тонального выготываться, а пола раняльные.
[143:55-143:57] Павел Кочкин:  Типа я хочу теплыть на уровне работала.
[143:57-143:58] Павел Кочкин:  Не сильный, я хочу жить или кто страниц.
[143:58-144:00] Павел Кочкин:  Такой хочу там нет или я внуку бассенаду.
[144:00-144:03] Павел Кочкин:  Вот Эйна, понита и откуда и секала чек и жизни.
[144:03-144:05] Павел Кочкин:  То есть сюда имеет четверт нот расскаруга.
[144:07-144:08] Павел Кочкин:  Слушай, это членя струбция.
[144:08-144:11] Павел Кочкин:  Только дословно пологаряешь, повторяешь.
[144:13-144:20] Павел Кочкин:  То есть Я добру день, я иногда за то, что все, что между мужем, или между женой, бизнес-партными и снегами, затем вижу, чтобы один дословно один дарял другую повторю.
[144:20-144:20] Павел Кочкин:  О, то что он такой?
[144:20-144:24] Павел Кочкин:  Потом пять штуку поцифирует, и на крик там изменения, начинает с этим настерика.
[144:24-144:26] Павел Кочкин:  А я ч<unk> я ему ничего делал?
[144:26-144:28] Павел Кочкин:  Серединет на торец медиатор. Называется медиаствория.
[144:28-144:31] Павел Кочкин:  Медиатрии в серединке я сижу заново и говорю, это словно повторяю, рассказал.
[144:31-144:37] Павел Кочкин:  Ну что он Значит, ты повторяешь, если словно даст словно, ее возникало уникально ощущать страх, то ее чинишь, слышу, слышу.
[144:37-144:40] Павел Кочкин:  Значит, ты повторюсь, да, словно повторяешь, правильно ли я говоришь, но..
[144:39-144:41] Павел Кочкин:  Я понял, как понял противника, а надо.
[144:41-144:43] Павел Кочкин:  Да, такая, что вот это и еще это.
[144:43-144:44] Павел Кочкин:  И вот это. Вот это.
[144:44-144:44] Павел Кочкин:  Или она здесь.
[144:44-144:45] Павел Кочкин:  Это ваш, ты это ваш.
[144:45-144:47] Павел Кочкин:  Вот ты опять. Я повторяю.
[144:48-144:50] Павел Кочкин:  Анслушай такая да ты ух правильно понял.
[144:50-144:51] Павел Кочкин:  Ты все про прям брови и так куривает.
[144:52-145:08] Павел Кочкин:  Да-да-да, именно это Денисом иногда он говорит И это дело нравится еще мне байк там Чон чем сиганусь вот из вот и свет такие Эа Аа повторяй Я группу Вот я повторял Да на по Вот Ээ значит Э навык вот этого навторения это как нет приемы, понял и из вабщина.
[145:08-145:15] Павел Кочкин:  В воен навык взят на потом в тот момент, может именно мы работаем, что я натязан тебе обе исполнять чушь пересмотреть, а желание кому нараться, ни коня.
[145:16-145:19] Павел Кочкин:  Как то да и повторилка на удобре или она ринат?
[145:19-145:20] Павел Кочкин:  Или твои ее слышал, что тышь наплышь?
[145:20-145:22] Павел Кочкин:  Ничего поминаю раз на этом не обязательно.
[145:22-145:23] Павел Кочкин:  Напоминает, если что, да, минаешь. Вот.
[145:24-145:26] Павел Кочкин:  Ой, второй вопрос.
[145:27-145:30] Павел Кочкин:  И говоришь, а ты Настя, как я?
[145:30-145:34] Павел Кочкин:  Тебя в этом помогу джать. Поддерживай. Помнил?
[145:34-145:35] Павел Кочкин:  Что ты хочешь?
[145:35-145:36] Павел Кочкин:  Итак, что ты хочешь?
[145:36-145:39] Павел Кочкин:  Как понял, приемки я могу каждым поддерживать тебя в этой игре.
[145:41-145:42] Павел Кочкин:  Самым она темно выдаю.
[145:42-145:44] Павел Кочкин:  Вот те обмена пункты, какую валюту.
[145:44-145:45] Павел Кочкин:  Она готова валюта, она говорит, принимай.
[145:45-145:47] Павел Кочкин:  И не, что я говоришь-то, они толстые.
[145:47-145:48] Павел Кочкин:  Ты о самая кивая каждая красивая.
[145:48-145:50] Павел Кочкин:  Да утри меня заблагодарок.
[145:52-145:58] Павел Кочкин:  Ф Позавпианно постает насчет во обнимай с вами и злуй удержи, как за рук месть идем, когда мы и беги, и иди и впереди руку держи, а за обнимай Жи о голове.
[145:59-146:02] Павел Кочкин:  Если раз черю, ты я и ты меня обцелуй, внимай по голове и гладь.
[146:02-146:04] Павел Кочкин:  Надо решать мне надо, просто не проблемаешь места, целуешь.
[146:05-146:07] Павел Кочкин:  Вот ты такой ударяешься по..
[146:07-146:10] Павел Кочкин:  Все, давай поэксиборишь, ориентируем в эксперимент тебя об водках.
[146:10-146:16] Павел Кочкин:  Такая мать так водку суда, руки крепко не клади и держи четко на тебе опции, как инструктывать меня рад. Значит, повторяю.
[146:16-146:18] Павел Кочкин:  Вот значит, убеждай, что все получится, что я понял.
[146:18-146:22] Павел Кочкин:  Как только на работу проект делали.
[146:21-146:27] Павел Кочкин:  Совершенно все зафиксирует для себя, фиксировал, проверил по эксперименту, экспериментируй в обратном идти по сторону.
[146:27-146:48] Павел Кочкин:  Тебе говорит, теперь она ты че ходит, так а ты раз ей, сказывай, она понял прием, а как тарелка достам по условно и после как себя этого кать держать и соответственно ты раз соответствуешь а она сказывает дословно повторю будет длины про эксперимент чтобы прокое-то лет насколько крови хорошо по нику она хла и кто понял это без эксперимента Если ты говоришь, если когда я, например, мне не шел прогать пятнадцать, я не тонут, пока отсмыдаем в кабинете, уже смести часть и принцип.
[146:48-146:52] Павел Кочкин:  Пробуйте делать, протестируйте эту дням разыгру, деловую шел, короче, и пришел на входишь.
[146:52-146:53] Павел Кочкин:  Ну, ну там и так далее.
[146:53-146:56] Павел Кочкин:  Дом перементировали, пэкс, чтобы увидеть друг другу писать, что Все поняли.
[146:56-147:06] Павел Кочкин:  И все, напоминаю, еще раз никто не зан потом не обесполнил из этих желать, но они знать одно за кто о том, как жается, зарежет куда иди кто, и кто чет, и как его там хочет жать, я поддерживаю золото.
[147:07-147:11] Павел Кочкин:  То коммуник анакции между гацругом, это другой раззов второго лото.
[147:11-147:13] Павел Кочкин:  Друг друга с то есть с мышем? Слышал. А, вообще. Я способен.
[147:13-147:14] Павел Кочкин:  Сейчас пяти по ним слыша.
[147:14-147:16] Павел Кочкин:  Ай, да, чувствуешь, что вот и что там в конце векона?
[147:16-147:25] Павел Кочкин:  Дважды дело фоторажды пройдут, то есть в одну работу, но потом вдруг стул команда внутри семьи кации, но семьи становятного более намного сильный интерес, красивый, и так далее.
[147:25-147:43] Павел Кочкин:  Не просто для можно быть планирование, но и согласно и с планамисованными еще раз не знаю например ты не обязан ты чего делать не то что она с того что сила а за правду если ты вдруг но я хочешь вдруг за видишь вы наполнен счастливым ты знаешь на жену и нам что делать Ворот, а на вдруг, если хочет видеть заход крут себя лизон, так ты мне время знает, когда кнопки надо кикать, как тебя нажимать, поддерживать.
[147:43-147:50] Павел Кочкин:  Но дальше в укаже, собственно, праздноваться или не делал делать, то есть каждый Работу делать у нас арнетар.
[147:50-147:54] Павел Кочкин:  Догнать очень доброе, знаете, причинение попробовать на несть пользу и мута и ответный гризь.
[147:54-147:55] Павел Кочкин:  Абсолютное поведение спично.
[147:55-147:59] Павел Кочкин:  Это не ради не я, а я хочу видеть, потому что улыбку на тюнек.
[147:58-148:01] Павел Кочкин:  И будешь торговывать, когда они там издать на меня бар кто-то.
[148:02-148:03] Павел Кочкин:  Можно какую-то вольчунь выкупить.
[148:03-148:04] Павел Кочкин:  Он не очень.
[148:04-148:07] Павел Кочкин:  Все, Женя, там для тебя. Так.
[148:08-148:09] Павел Кочкин:  Да-да, спасибо.
[148:09-148:10] Павел Кочкин:  Да, прям исправил. Так, да.
[148:10-148:13] Павел Кочкин:  Мир не через планету чувств, тела не через твою, а не цели, головердый. Молодец.
[148:15-148:17] Павел Кочкин:  Где с кем сейчас год говорю? Молодец, счастливо.
[148:17-148:19] Павел Кочкин:  Им без вино. Так, интернет.
[148:18-148:20] Павел Кочкин:  Шилю Винет Гурка последний золотой разбор.
[148:20-148:22] Павел Кочкин:  Мне едва очень хотел ребят опять начал.
[148:22-148:24] Павел Кочкин:  Посмотрел это вот салон карганизан.
[148:24-148:27] Павел Кочкин:  Сформировал себя как водос страха идти с безденько, финансовых нижний эфир.
[148:27-148:28] Павел Кочкин:  Значит,
[148:28-148:58] Павел Кочкин:  потеряемая миссия, уважаемый с неделот старуйте для связания Как вы страх обезтиз мне финанс день матери как быть акэя басмелечи погани в себе и уверены в себе то есть отрицать это сейчас переделайте формирование счастливей моделисторой морит получше вот создать зеленую паркерную формулирую когда создать и работать куда-нибудь твое выхват проект А не убегаю без денежных и финансовых и тот же самый проблема, как мамы обсуждали сейчас национального гара промысло максимум.
[148:58-149:00] Павел Кочкин:  Вот я надеюсь, слушаю, чем действует.
[149:00-149:00] Павел Кочкин:  Блин, ходить тяжело.
[149:00-149:03] Павел Кочкин:  Так и состояние дальше не отдается.
[149:03-149:04] Павел Кочкин:  Речь очень черный конуровка.
[149:04-149:05] Павел Кочкин:  Молодка фрукт сладец.
[149:05-149:08] Павел Кочкин:  Скало было созначение под против планированные, потому что актуально интеллект.
[149:08-149:10] Павел Кочкин:  Концепа не примела и примерила и пощущение связи.
[149:10-149:11] Павел Кочкин:  Да-да-да, спасибо.
[149:11-149:12] Павел Кочкин:  Именно так, Аленочка.
[149:12-149:14] Павел Кочкин:  Так я бываю на ура. Я прожил.
[149:13-149:18] Павел Кочкин:  Чего не того нет чувства, точку Б свою Д мельчай Б дали мелочей и распорядочей супер аткассо.
[149:18-149:20] Павел Кочкин:  Заворачивай, потом рываешь Г. Все закрыт. Молодец.
[149:20-149:22] Павел Кочкин:  После этого здание на день один дефетфар.
[149:22-149:25] Павел Кочкин:  То есть на что есть что сделать, чтобы вроде мог ближе к этому наша отдания.
[149:25-149:27] Павел Кочкин:  Молодец, да, шефер, все и так далее.
[149:27-149:28] Павел Кочкин:  Ребер, и все. Дальше.
[149:28-149:30] Павел Кочкин:  Ребята, спасибо женщин, даросы, погромьте.
[149:30-149:33] Павел Кочкин:  Ватвесть у вас будет механизм вас. Никогда.
[149:33-149:35] Павел Кочкин:  Есть возвращайтесь, микрофон, чай, микрофон.
[149:38-149:41] Denis Sh:  Понял цикла этой рукланы, я так расслагаю уже вопрос.
[149:42-149:48] Павел Кочкин:  Да ну давай-то я сейчас на минутку чуть и верну, откуда ответственность, что Руслан просил хочет.
[149:48-150:08] Антон Погорелый:  не вообще я хочу просто ну просто сказать что к обычту как бы было очень все круто я в процессе авто Когда слушал ребят, ушел до сладких ответ, слушал, как я видел, где они как ходят на хвои свои ответы, ответ и в эфире уже тоже шел на нет ответ.
[150:09-150:23] Антон Погорелый:  В общем, почему для снова до себя чем мне мучать дон автосира буквары сегодня сам я решил в общем то и друг жилы в одной цель ставить поставить Пот ум. Вожо.
[150:30-151:02] Антон Погорелый:  Б точку под деревом ливом том шопа точку огурца в глядку а точка А том Барма по та возвращался рассчитать точку опять лони вас надо еще от нас вчера в общем это закончилось все как началось поляски подошли цель у вас все хорошо все хорошо я сказал да я сказал хорошо а все пошел позовы реализации колет прикол то что находил все я для тебя решил себя всем спасибо большое спасибо за свою проблему решил я у эфирил бы Спасибо, что поделился, что поделился.
[151:02-151:05] Denis Sh:  Вообще, такой получился эфир.
[151:05-151:11] Denis Sh:  Я даже дал, что мы же не уже глубоко столько темно, сто по часок сбора, ты на раз и погрузился.
[151:10-151:15] Denis Sh:  И для многих своего трансформора, походу, сознание с ней.
[151:15-151:24] Denis Sh:  Многих, когда пригласил, я его пишу, я кто-то пишу, не вличий мой, и говорит, типа, и было у нас спасибо такого, и смогу тогда не было, ты не просил был тебя, что прыгал.
[151:23-151:48] Denis Sh:  вообще другая сил взгляд вой и прят и от меня свет супер жизни положить вы но ребята перевидеть синсалта типа тогда можно лок развиваться идти и действительно лежат на Ваши каемы ресик ресурсы, мои ресурсы там я вижу, как влияют на мои мнения, мне изменят мне да вот все Анна моя супруга моя полюбляла, сказала вещь, формулирующая пошел свой зашел.
[151:49-152:01] Denis Sh:  Или на моих убил боений пока я же тормоз свое время делал и стал свое позадал типа почевосан происходит муни в самый клуб тот скачок пантовой мунитак который и реализую.
[152:01-152:03] Denis Sh:  Так его зашел, он произошл, как будто дальше адсце.
[152:04-152:10] Denis Sh:  И тут появился вот этот появился у меня, появился у меня после маниоспасы, разготовь, что же.
[152:10-152:41] Denis Sh:  то что на самом гораздо про неделе можно формулировать или стол свои вот лад я хочу и мулировать чтобы лад реализовать цели свои я хочу жить счастлив свою жизнь а по уже жизнь исполнена и которая жизнь как стабильным из-за того я вот я своя за счет личности от интеллигенции достиг гибко срагая цели по их оппозициям вот это роня чья мир я через демонстрация монстрованная мира суя перечину и своего при следствия всего осталось Вероятно, невестало иметь потенциал.
[152:42-152:45] Denis Sh:  За счет этого можно то меня все вокруг рук.
[152:45-152:46] Denis Sh:  Сложно,
[152:46-152:52] Denis Sh:  очень гладило, мы все укладывали, они сразу I bought it раinte distance, но очень ублизительно увлекается.
[152:52-152:59] Denis Sh:  Бота, который вы занимается стоять само Уже вы уже сейчас видеть, сможете дать и наблюдать.
[152:59-153:04] Denis Sh:  Если можете быть хотите в сообществе, мы чистые с Пашим и съездить, можно делать это тоже через Паши.
[153:04-153:06] Denis Sh:  Выбор, а я с вами сделаю.
[153:07-153:08] Denis Sh:  Спасибо, что участвуем.
[153:09-153:11] Denis Sh:  Всех на выступате в новый год.
[153:11-153:20] Denis Sh:  Ваш я искренне тебя люблю за благодаря этот звон, за каждую встречу с тобой про вечер с пазник для местопроекта. Спасибо.
